1.0608,-0.71857,-0.82902,-0.24019,-0.29339,0.11814,-0.16164,-1.2298,-0.48278,-0.17648,0.51815,-0.38612,0.43067,0.033563,-0.45153,0.13789,-0.013885,-0.49444,-0.11579,0.1784,0.12062,0.0030156,-0.069427,0.21872,-0.26162,-0.24019,-0.44973,-0.45185,0.0005031,1
1.2885,-0.69924,0.14206,0.21694,-0.35844,0.32157,-0.2904,-1.3234,-0.71958,-0.37164,0.52067,-0.83235,0.57219,-0.021283,-0.18003,0.32027,0.044573,-0.53864,-0.1467,0.13834,0.060337,0.0073634,-0.078103,0.23846,-0.25254,-0.2323,-0.45045,-0.43309,-0.0062869,1
-0.20402,1.5132,-0.88093,-0.14008,-0.26793,0.063522,-0.22444,-1.1075,-0.44369,0.063174,0.28251,-0.43043,0.42979,0.065696,-0.42844,0.15079,0.064695,-0.48781,-0.10401,0.15318,0.11309,0.06315,-0.030527,0.20074,-0.24061,-0.23307,-0.42332,-0.42472,-0.0020003,-1
1.1077,-0.72953,-0.74692,-0.061911,-0.28554,-0.10649,0.012576,-1.0758,-0.52316,-0.11468,0.50767,-0.37326,0.41991,0.039741,-0.40771,0.15091,-0.0024116,-0.48124,-0.13438,0.1829,0.12632,-0.0041257,-0.07812,0.22333,-0.26106,-0.24127,-0.45008,-0.45659,-0.0012847,1
0.99616,-0.62211,-0.34558,0.19353,0.049305,0.21721,-0.71277,-1.1461,-0.53828,0.028234,0.72947,-0.57222,0.53675,-0.019289,-0.43059,0.16003,0.048779,-0.44279,-0.12821,0.17742,0.13643,0.02151,-0.064977,0.22617,-0.26104,-0.24206,-0.44169,-0.44912,0.00046515,1
1.0001,-0.70194,-0.97735,-0.43556,-0.29287,0.1327,-0.017943,-1.2777,-0.49329,-0.14004,0.48845,-0.35459,0.43834,0.022458,-0.49936,0.12651,-0.015419,-0.48523,-0.10969,0.17374,0.11596,0.0014212,-0.070469,0.21551,-0.26088,-0.23861,-0.44781,-0.4521,0.0004773,1
0.64116,-0.34479,0.00053053,-0.31024,-0.15317,-0.72611,-0.35965,-0.8199,-0.49804,0.15189,0.37053,-0.43711,0.66552,-0.075979,-0.78387,0.0021128,0.091024,-0.36413,-0.14984,0.19366,0.14572,-0.018191,-0.13584,0.22167,-0.26512,-0.25014,-0.43002,-0.48655,-0.0058037,-1
-0.25356,1.5329,-0.88018,-0.13398,-0.23501,0.084629,-0.22731,-1.067,-0.44417,0.056721,0.24512,-0.45748,0.41279,0.073569,-0.41489,0.13166,0.051705,-0.47543,-0.10572,0.1573,0.11851,0.06674,-0.025282,0.19837,-0.24171,-0.23548,-0.42484,-0.42447,-0.001748,-1
1.154,-0.72376,-0.50737,0.14635,-0.26503,-0.14725,-0.01526,-0.97792,-0.53103,-0.10198,0.5432,-0.44651,0.44958,0.021638,-0.39095,0.16959,0.0075097,-0.5006,-0.13594,0.18046,0.13471,0.0061378,-0.065754,0.21968,-0.26276,-0.24216,-0.44981,-0.45651,-0.0022178,1
-0.17472,1.4937,-0.87576,-0.15996,-0.36287,0.094474,-0.14821,-1.0481,-0.29423,-0.051056,0.31318,-0.45639,0.40857,0.044991,-0.42021,0.1632,0.05559,-0.48078,-0.10464,0.15776,0.10868,0.05904,-0.032311,0.20263,-0.23955,-0.23271,-0.42392,-0.42204,-0.0020757,-1
